Source;Target;Label;Highway;Length;Type
151;334;Rua Marcos Pires;residential;64.25;Undirected
235;232;UNAMED;residential;17.04;Undirected
153;90;UNAMED;residential;21.65;Undirected
335;318;UNAMED;residential;266.42;Undirected
150;334;Rua Filipe Hodart;residential;132.03;Undirected
334;159;Rua Filipe Hodart;residential;29.52;Undirected
229;230;Largo da Conchada;residential;42.14;Undirected
230;234;Largo da Conchada;residential;22.39;Undirected
336;337;UNAMED;residential;12.83;Undirected
338;299;UNAMED;residential;18.08;Undirected
339;340;UNAMED;residential;12.83;Undirected
217;341;UNAMED;residential;12.88;Undirected
342;338;UNAMED;residential;12.89;Undirected
340;218;UNAMED;residential;15.84;Undirected
218;342;UNAMED;residential;23.7;Undirected
341;219;UNAMED;residential;23.71;Undirected
219;336;UNAMED;residential;15.83;Undirected
337;339;UNAMED;residential;8.38;Undirected
203;62;Praça Machado de Assis;residential;33.74;Undirected
343;292;Largo de Santana;secondary;23.17;Undirected
291;343;Largo de Santana;secondary;23.59;Undirected
344;345;Rua do Brasil;secondary;514.12;Undirected
2;78;Couraça da Estrela;residential;36.72;Undirected
78;80;Couraça da Estrela;residential;99.23;Undirected
141;346;Avenida Cidade Aeminium;tertiary;1005.47;Undirected
141;255;Avenida da Cidade Aeminium;tertiary;21.73;Undirected
347;348;UNAMED;residential;53.12;Undirected
51;348;Rua Vandelli;residential;56.23;Undirected
348;163;Rua Vandelli;residential;103.78;Undirected
349;350;Rua do Olival de São Domingos;residential;122.95;Undirected
350;351;Rua do Olival de São Domingos;residential;84.38;Undirected
351;352;Rua do Olival de São Domingos;residential;22.87;Undirected
351;353;Rua Doutor Vítor Feitor Pinto;residential;97.73;Undirected
350;354;Rua Doutor Alexandre da Silva;residential;66.86;Undirected
355;356;UNAMED;residential;84.66;Undirected
357;92;Travessa do Marco Preto;residential;47.62;Undirected
93;152;Travessa Moura e Sá;residential;86.67;Undirected
263;358;Travessa Dom Afonso Castelo Branco;residential;44.58;Undirected
359;360;Azinhaga do Carmo;residential;145.88;Undirected
276;361;Rua José Pinto Loureiro;residential;14.07;Undirected
361;62;Rua José Pinto Loureiro;residential;12.19;Undirected
159;362;Rua Diogo Castilho;residential;51.95;Undirected
363;285;Rua Borges Carneiro;residential;92.96;Undirected
125;202;Rua Machado de Castro;residential;145.25;Undirected
123;224;Rua Doutor António José de Almeida;residential;44.95;Undirected
95;123;Rua Doutor António José de Almeida;residential;36.47;Undirected
364;355;Rua Padre Manuel da Nóbrega;residential;247.05;Undirected
355;120;Rua Padre Manuel da Nóbrega;residential;312.98;Undirected
365;364;UNAMED;residential;71.08;Undirected
89;157;Travessa Guerra Junqueiro;residential;59.58;Undirected
88;366;UNAMED;residential;45.9;Undirected
160;124;Rua Diogo Castilho;residential;14.01;Undirected
176;367;Rua do Doutor Guilherme Moreira;residential;122.44;Undirected
367;368;Rua da Ilha;residential;156.21;Undirected
369;195;Rua Abel Dias Urbano;residential;85.24;Undirected
195;321;Rua Abel Dias Urbano;residential;88.8;Undirected
370;371;Circular Interna de Coimbra;secondary;780.94;Undirected
372;373;Rua Costa Simões;secondary;547.56;Undirected
300;140;Rua António Granjo;secondary;52.56;Undirected
140;255;Rua António Granjo;secondary;11.89;Undirected
304;374;Caminho da Casa do Sal;residential;46.56;Undirected
