Source;Target;Label;Highway;Length;Type
339;335;Travessa da Espera;residential;31.32;Undirected
335;328;Travessa da Espera;residential;32.9;Undirected
328;351;Travessa da Espera;residential;34.48;Undirected
351;361;Travessa da Espera;residential;31.24;Undirected
340;334;Travessa dos Fiéis de Deus;residential;30.85;Undirected
179;314;Rua Luisa Todi;residential;110.26;Undirected
362;363;Travessa da Glória;residential;78.23;Undirected
364;365;Rua da Moeda;residential;107.91;Undirected
366;367;Praça Dom Luís I;residential;116.34;Undirected
368;369;Travessa de São Paulo;residential;32.12;Undirected
370;371;Calçada de Salvador Correia de Sá;residential;65.04;Undirected
371;372;Calçada de Salvador Correia de Sá;residential;5.99;Undirected
372;373;Calçada de Salvador Correia de Sá;residential;134.5;Undirected
373;374;Calçada de Salvador Correia de Sá;residential;2.92;Undirected
375;376;Calçada da Glória;residential;34.22;Undirected
376;377;Calçada da Glória;residential;109.28;Undirected
377;378;Calçada da Glória;residential;105.81;Undirected
379;380;Rua das Taipas;residential;32.62;Undirected
380;381;Rua das Taipas;residential;9.48;Undirected
382;383;Rua da Alegria;tertiary;47.13;Undirected
383;384;Rua da Alegria;tertiary;20.56;Undirected
384;385;Rua da Alegria;tertiary;65.32;Undirected
385;386;Rua da Alegria;tertiary;90.81;Undirected
384;387;Rua da Mãe d'Água;residential;37.58;Undirected
387;388;Rua da Mãe d'Água;residential;40.45;Undirected
386;389;Travessa da Conceição da Glória;residential;92.81;Undirected
390;391;Rua Cecílio de Sousa;residential;58.91;Undirected
391;392;Rua Cecílio de Sousa;residential;26.32;Undirected
392;393;Rua Cecílio de Sousa;residential;195.91;Undirected
394;395;Praça do Príncipe Real;residential;21.58;Undirected
395;396;Praça do Príncipe Real;residential;97.01;Undirected
395;397;Rua de O Século;residential;80.75;Undirected
397;398;Rua de O Século;residential;41.12;Undirected
398;399;Rua de O Século;residential;103.68;Undirected
399;400;Rua de O Século;residential;79.47;Undirected
400;401;Rua de O Século;residential;91.75;Undirected
401;402;Rua de O Século;residential;112.8;Undirected
402;403;Rua de O Século;residential;26.35;Undirected
403;404;Rua de O Século;residential;40.96;Undirected
392;405;Travessa do Monte do Carmo;residential;156.48;Undirected
396;406;Praça do Príncipe Real;residential;33.77;Undirected
406;407;Praça do Príncipe Real;residential;101.87;Undirected
